"","MatchID","TeamID","OriginPlayerID","DestinationPlayerID","MatchPeriod","EventTime","EventType","EventSubType","EventOrigin_x","EventOrigin_y","EventDestination_x","EventDestination_y","index2"
"19",3,"Huskies","Huskies_F2","Huskies_D6","1H",1409.229665,"Pass","High pass",59,30,82,97,10
"20",3,"Huskies","Huskies_D2","Huskies_M1","1H",1956.621768,"Pass","Simple pass",33,45,58,54,12
"21",3,"Huskies","Huskies_M4","Huskies_F3","1H",2308.069743,"Pass","Simple pass",47,57,69,63,8
"22",3,"Huskies","Huskies_D6","Huskies_G1","1H",2558.214447,"Pass","Simple pass",46,73,7,74,10
"23",3,"Huskies","Huskies_F2","Huskies_M6","1H",2683.663399,"Pass","Simple pass",73,62,79,78,11
"24",3,"Huskies","Huskies_M7","Huskies_M1","2H",589.583604,"Pass","Simple pass",49,41,56,66,9
"25",3,"Huskies","Huskies_D6","Huskies_F2","2H",953.890085,"Pass","Simple pass",80,91,77,90,18
"26",3,"Huskies","Huskies_M1","Huskies_F1","2H",1688.773572,"Pass","Simple pass",62,75,67,87,10
"27",4,"Huskies","Huskies_G1","Huskies_F2","1H",212.562823,"Pass","Launch",8,44,65,30,8
"28",4,"Huskies","Huskies_D5","Huskies_F3","1H",356.673449,"Pass","Cross",93,77,91,56,10
"29",4,"Huskies","Huskies_G1","Huskies_M6","1H",1310.297888,"Pass","Launch",9,19,61,8,9
"30",4,"Huskies","Huskies_M1","Huskies_F1","2H",1133.371695,"Pass","Cross",73,94,90,50,17
"31",4,"Huskies","Huskies_M3","Huskies_D2","2H",1306.03568,"Pass","Simple pass",43,52,22,33,8
"32",4,"Huskies","Huskies_D1","Huskies_D2","2H",1761.745016,"Pass","Simple pass",34,76,28,52,8
"33",4,"Huskies","Huskies_D4","Huskies_F2","2H",2275.282611,"Pass","Cross",92,8,91,31,13
"34",4,"Huskies","Huskies_D2","Huskies_D4","2H",2506.604053,"Pass","Simple pass",52,30,63,5,9
"35",4,"Huskies","Huskies_D4","Huskies_M9","2H",2718.287644,"Pass","Simple pass",69,22,69,37,8
"36",4,"Huskies","Huskies_D4","Huskies_M9","2H",2810.97118,"Pass","Simple pass",64,2,70,30,8
"37",4,"Huskies","Huskies_D5","Huskies_M6","2H",2859.952779,"Pass","Simple pass",97,67,91,67,12
"38",5,"Huskies","Huskies_M1","Huskies_M6","1H",1154.780625,"Pass","Simple pass",47,66,68,52,8
"39",5,"Huskies","Huskies_M1","Huskies_D3","1H",1777.246463,"Pass","Simple pass",56,29,52,7,8
"40",5,"Huskies","Huskies_D3","Huskies_M3","1H",2178.910981,"Pass","Simple pass",32,34,36,31,13
"41",5,"Huskies","Huskies_D3","Huskies_M3","1H",2250.411436,"Pass","Simple pass",52,29,53,36,9
"42",5,"Huskies","Huskies_D4","Huskies_F2","2H",665.693945,"Pass","Simple pass",72,8,72,26,15
"43",5,"Huskies","Huskies_F2","Huskies_M6","2H",1350.595834,"Pass","Simple pass",69,47,78,19,9
"44",5,"Huskies","Huskies_F1","Huskies_M6","2H",2881.449268,"Pass","Head pass",75,43,62,69,8
"45",6,"Huskies","Huskies_F2","Huskies_D5","1H",424.313864,"Pass","Simple pass",75,63,91,95,12
"46",6,"Huskies","Huskies_D6","Huskies_F2","1H",856.261046,"Pass","High pass",25,95,67,89,9
"47",6,"Huskies","Huskies_M1","Huskies_F2","1H",1208.665217,"Pass","Simple pass",54,34,58,56,9
"48",6,"Huskies","Huskies_M6","Huskies_M1","1H",1442.412476,"Pass","Simple pass",82,30,78,43,12
"49",6,"Huskies","Huskies_D5","Huskies_M2","2H",50.5982939999999,"Pass","Simple pass",75,97,70,86,9
"50",6,"Huskies","Huskies_M4","Huskies_D5","2H",1300.183344,"Pass","Simple pass",70,50,86,92,9
"51",7,"Huskies","Huskies_D2","Huskies_M6","1H",98.33689,"Pass","High pass",31,16,62,8,9
"52",7,"Huskies","Huskies_D5","Huskies_F1","1H",769.282998,"Pass","High pass",60,90,84,53,10
"53",7,"Huskies","Huskies_D2","Huskies_D1","2H",530.289257,"Pass","Simple pass",55,36,54,63,8
"54",7,"Huskies","Huskies_M6","Huskies_F1","2H",1127.326212,"Pass","Simple pass",70,62,78,41,8
"55",8,"Huskies","Huskies_D1","Huskies_D4","1H",502.840755,"Pass","Simple pass",48,42,54,8,11
"56",8,"Huskies","Huskies_D4","Huskies_M3","1H",630.243969,"Pass","Simple pass",47,9,55,25,13
"57",8,"Huskies","Huskies_M6","Huskies_D4","1H",1041.696394,"Pass","Simple pass",77,12,96,6,14
"58",8,"Huskies","Huskies_M3","Huskies_M1","1H",1260.2297,"Pass","Simple pass",53,20,60,5,8
"59",8,"Huskies","Huskies_D4","Huskies_F1","1H",1707.726005,"Pass","Simple pass",38,7,64,31,8
"60",8,"Huskies","Huskies_F2","Huskies_D4","2H",51.179646,"Pass","Simple pass",42,26,26,18,8
"61",8,"Huskies","Huskies_D1","Huskies_D6","2H",365.357893,"Pass","Simple pass",47,82,64,96,9
"62",9,"Huskies","Huskies_M6","Huskies_F1","2H",785.024104,"Pass","Smart pass",54,48,73,59,11
"63",9,"Huskies","Huskies_M1","Huskies_F2","2H",1359.899266,"Pass","Simple pass",67,43,69,51,8
"64",10,"Huskies","Huskies_F2","Huskies_M8","1H",1560.242022,"Pass","Smart pass",66,68,92,66,9
"65",10,"Huskies","Huskies_M1","Huskies_F2","1H",1922.900818,"Pass","Simple pass",62,73,75,54,10
"66",10,"Huskies","Huskies_D3","Huskies_D7","2H",81.3911600000001,"Pass","Simple pass",57,71,71,93,10
"67",10,"Huskies","Huskies_D7","Huskies_M1","2H",416.301113,"Pass","Simple pass",77,96,68,82,12
"68",10,"Huskies","Huskies_M4","Huskies_F4","2H",958.943377,"Pass","Cross",85,86,89,48,15
"69",10,"Huskies","Huskies_D4","Huskies_F2","2H",1444.727304,"Pass","Cross",79,5,88,37,12
"70",11,"Huskies","Huskies_D7","Huskies_D3","1H",1348.047503,"Pass","Simple pass",74,94,58,97,8
"71",11,"Huskies","Huskies_M1","Huskies_F4","1H",1899.347877,"Pass","Simple pass",65,28,82,35,14
"72",11,"Huskies","Huskies_D3","Huskies_M4","2H",874.74942,"Pass","Simple pass",46,66,55,92,10
"73",12,"Huskies","Huskies_G1","Huskies_D7","1H",1200.373405,"Pass","Simple pass",12,53,39,97,13
"74",12,"Huskies","Huskies_D4","Huskies_G1","2H",2313.595995,"Pass","Simple pass",39,5,13,32,9
"75",13,"Huskies","Huskies_G1","Huskies_F1","1H",52.407263,"Pass","Launch",9,43,61,18,8
"76",13,"Huskies","Huskies_M5","Huskies_M8","1H",1388.925503,"Pass","Simple pass",67,72,69,79,10
"77",13,"Huskies","Huskies_D3","Huskies_F1","1H",1668.920986,"Pass","High pass",31,74,68,59,12
"78",13,"Huskies","Huskies_M3","Huskies_F1","1H",2304.309709,"Pass","Simple pass",40,69,67,60,8
"79",13,"Huskies","Huskies_D7","Huskies_F1","2H",1062.873284,"Pass","High pass",39,5,78,5,9
"80",13,"Huskies","Huskies_M8","Huskies_M9","2H",1901.524762,"Pass","Simple pass",44,91,58,86,17
"81",14,"Huskies","Huskies_D5","Huskies_F2","1H",413.236038,"Pass","Simple pass",71,8,40,25,10
"82",14,"Huskies","Huskies_M8","Huskies_D7","1H",914.688483,"Pass","Simple pass",71,96,78,88,12
"83",14,"Huskies","Huskies_F2","Huskies_M6","1H",1520.727313,"Pass","High pass",59,31,68,12,9
"84",14,"Huskies","Huskies_M8","Huskies_D7","1H",1646.273368,"Pass","Simple pass",62,96,61,85,8
"85",14,"Huskies","Huskies_M1","Huskies_F2","1H",1848.178314,"Pass","Simple pass",60,42,57,36,11
"86",14,"Huskies","Huskies_M4","Huskies_D7","1H",2143.577587,"Pass","Simple pass",66,64,85,91,12
"87",14,"Huskies","Huskies_D2","Huskies_F2","2H",1663.161251,"Pass","Simple pass",42,35,46,35,9
"88",14,"Huskies","Huskies_M6","Huskies_F1","2H",2334.702498,"Pass","Simple pass",87,32,86,48,16
"89",14,"Huskies","Huskies_D5","Huskies_M9","2H",2835.965573,"Pass","Simple pass",33,7,67,10,21
"90",14,"Huskies","Huskies_D5","Huskies_M10","2H",2863.320209,"Pass","Simple pass",30,9,35,2,9
"91",15,"Huskies","Huskies_F1","Huskies_M8","1H",1681.440215,"Pass","Simple pass",80,67,80,78,9
"92",15,"Huskies","Huskies_M4","Huskies_F1","2H",1055.630741,"Pass","Smart pass",80,83,88,60,9
"93",15,"Huskies","Huskies_D7","Huskies_M4","2H",1099.651591,"Pass","Simple pass",60,95,80,76,15
"94",15,"Huskies","Huskies_F2","Huskies_M6","2H",1117.573995,"Pass","Simple pass",69,50,79,75,8
"95",15,"Huskies","Huskies_M10","Huskies_M1","2H",2798.369112,"Pass","Simple pass",53,44,58,31,8
"96",17,"Huskies","Huskies_D2","Huskies_M3","1H",573.683884,"Pass","Simple pass",25,30,29,8,9
"97",17,"Huskies","Huskies_D6","Huskies_F2","1H",678.93502,"Pass","Simple pass",38,78,66,74,15
"98",17,"Huskies","Huskies_D5","Huskies_F2","1H",1368.431461,"Pass","Simple pass",72,22,85,26,19
"99",17,"Huskies","Huskies_F2","Huskies_D5","1H",1475.466017,"Pass","Simple pass",72,24,82,8,11
"100",17,"Huskies","Huskies_F1","Huskies_M8","1H",1571.27337,"Pass","Cross",89,85,90,50,16
"101",17,"Huskies","Huskies_M6","Huskies_F2","1H",1919.099799,"Pass","Simple pass",76,45,83,37,10
"102",17,"Huskies","Huskies_D5","Huskies_M3","1H",2745.76409,"Pass","Simple pass",65,6,57,19,8
"103",17,"Huskies","Huskies_M3","Huskies_D6","2H",769.318795,"Pass","Simple pass",46,38,29,82,12
"104",18,"Huskies","Huskies_D6","Huskies_G1","1H",301.836318,"Pass","Simple pass",21,72,9,47,8
"105",18,"Huskies","Huskies_G1","Huskies_D6","1H",743.078728,"Pass","Simple pass",22,44,28,76,8
"106",18,"Huskies","Huskies_F2","Huskies_F1","1H",936.472446,"Pass","High pass",61,27,93,11,10
"107",18,"Huskies","Huskies_F2","Huskies_D7","1H",1070.226954,"Pass","Simple pass",68,76,68,95,11
"108",18,"Huskies","Huskies_M1","Huskies_M3","1H",1116.154509,"Pass","Simple pass",65,59,55,25,9
"109",18,"Huskies","Huskies_M6","Huskies_F2","1H",1361.428454,"Pass","Simple pass",65,9,71,38,8
"110",18,"Huskies","Huskies_D6","Huskies_D7","1H",2289.211429,"Pass","Simple pass",42,73,49,96,9
"111",18,"Huskies","Huskies_M3","Huskies_F1","2H",848.290417,"Pass","High pass",46,49,67,8,12
"112",18,"Huskies","Huskies_F2","Huskies_D6","2H",2076.438005,"Pass","Simple pass",36,19,29,68,12
"113",18,"Huskies","Huskies_M10","Huskies_M4","2H",2236.281571,"Pass","Simple pass",63,63,65,78,8
"114",19,"Huskies","Huskies_D3","Huskies_M1","1H",1038.514948,"Pass","Simple pass",52,50,60,75,8
"115",19,"Huskies","Huskies_D3","Huskies_M3","2H",2273.440236,"Pass","Simple pass",36,25,46,20,10
"116",20,"Huskies","Huskies_M4","Huskies_M12","1H",996.48029,"Pass","Simple pass",72,80,72,91,8
"117",20,"Huskies","Huskies_D6","Huskies_M12","1H",1511.734215,"Pass","High pass",47,88,81,29,8
"118",21,"Huskies","Huskies_D1","Huskies_M1","1H",292.634767,"Pass","Simple pass",55,55,77,62,22
"119",21,"Huskies","Huskies_M1","Huskies_M3","1H",563.787408,"Pass","Simple pass",30,71,29,52,9
"120",21,"Huskies","Huskies_M3","Huskies_D1","1H",1016.617781,"Pass","Simple pass",31,48,30,61,8
"121",21,"Huskies","Huskies_M8","Huskies_F1","1H",1475.516934,"Pass","Simple pass",43,77,64,93,8
"122",21,"Huskies","Huskies_D1","Huskies_D3","1H",1854.445918,"Pass","Simple pass",28,54,38,31,12
"123",21,"Huskies","Huskies_M6","Huskies_M8","2H",636.23246,"Pass","Simple pass",71,26,92,16,10
"124",22,"Huskies","Huskies_F2","Huskies_M12","1H",697.654348,"Pass","Simple pass",68,36,79,60,9
"125",23,"Huskies","Huskies_M1","Huskies_F5","1H",484.839097,"Pass","Simple pass",53,47,80,30,13
"126",23,"Huskies","Huskies_F2","Huskies_D5","1H",2577.56971,"Pass","Simple pass",59,25,41,9,8
"127",24,"Huskies","Huskies_M13","Huskies_M3","1H",626.523046,"Pass","Simple pass",61,58,56,71,9
"128",24,"Huskies","Huskies_M9","Huskies_M6","1H",776.191477,"Pass","Head pass",87,19,87,37,14
"129",24,"Huskies","Huskies_D5","Huskies_M13","1H",1595.315323,"Pass","Simple pass",42,4,48,16,11
"130",24,"Huskies","Huskies_D5","Huskies_D6","1H",1947.860501,"Pass","Simple pass",57,6,45,46,11
"131",24,"Huskies","Huskies_D2","Huskies_D6","2H",1351.544682,"Pass","Simple pass",28,36,45,89,9
"132",24,"Huskies","Huskies_D7","Huskies_F6","2H",1442.165773,"Pass","Simple pass",75,95,86,95,9
"133",25,"Huskies","Huskies_D1","Huskies_F6","1H",1571.341935,"Pass","High pass",35,28,66,95,8
"134",25,"Huskies","Huskies_D8","Huskies_D3","2H",116.691133,"Pass","Simple pass",54,90,43,86,11
"135",25,"Huskies","Huskies_M4","Huskies_M1","2H",503.375039,"Pass","Simple pass",70,84,54,87,10
"136",26,"Huskies","Huskies_D9","Huskies_M1","1H",1239.194743,"Pass","Simple pass",39,17,54,46,9
"137",26,"Huskies","Huskies_D9","Huskies_D5","1H",1678.136498,"Pass","Simple pass",42,20,65,11,13
"138",26,"Huskies","Huskies_M1","Huskies_F6","1H",2108.757386,"Pass","Simple pass",61,81,66,89,12
"139",26,"Huskies","Huskies_G1","Huskies_F6","2H",380.059925,"Pass","Launch",16,56,73,80,12
"140",26,"Huskies","Huskies_M4","Huskies_D5","2H",890.734305,"Pass","Simple pass",73,9,80,4,13
"141",26,"Huskies","Huskies_M4","Huskies_D5","2H",1120.168437,"Pass","Simple pass",81,38,91,12,9
"142",26,"Huskies","Huskies_D9","Huskies_F1","2H",2257.51524,"Pass","High pass",21,34,41,27,10
"143",26,"Huskies","Huskies_D7","Huskies_M12","2H",2617.007127,"Pass","Simple pass",86,90,75,82,11
"144",27,"Huskies","Huskies_D9","Huskies_F6","1H",830.517473,"Pass","High pass",59,34,85,90,9
"145",27,"Huskies","Huskies_D1","Huskies_M1","1H",1039.718208,"Pass","Simple pass",68,69,70,92,8
"146",27,"Huskies","Huskies_F6","Huskies_F4","1H",1557.738988,"Pass","Simple pass",72,69,78,60,8
"147",27,"Huskies","Huskies_D1","Huskies_F6","1H",1922.16403,"Pass","Simple pass",43,72,63,95,11
"148",27,"Huskies","Huskies_D2","Huskies_D7","2H",1440.01878,"Pass","Simple pass",29,74,33,90,9
"149",27,"Huskies","Huskies_M1","Huskies_F6","2H",1565.613399,"Pass","Simple pass",67,54,71,63,14
"150",28,"Huskies","Huskies_F4","Huskies_F6","1H",821.581708,"Pass","Simple pass",79,91,86,85,9
"151",28,"Huskies","Huskies_F6","Huskies_M4","2H",247.680376,"Pass","Simple pass",79,72,81,66,15
"152",28,"Huskies","Huskies_M6","Huskies_D7","2H",1031.581803,"Pass","Simple pass",76,75,85,96,8
"153",29,"Huskies","Huskies_M6","Huskies_F1","2H",1069.684561,"Pass","Simple pass",75,10,83,4,15
"154",29,"Huskies","Huskies_F2","Huskies_D1","2H",1228.247809,"Pass","Simple pass",50,72,51,18,8
"155",29,"Huskies","Huskies_D1","Huskies_D2","2H",1612.584004,"Pass","Simple pass",30,34,29,69,9
"156",30,"Huskies","Huskies_M4","Huskies_D1","1H",657.076577,"Pass","Simple pass",62,72,53,33,8
"157",30,"Huskies","Huskies_D4","Huskies_F5","1H",721.630551,"Pass","Simple pass",37,3,67,5,9
"158",30,"Huskies","Huskies_D4","Huskies_F5","1H",1166.529888,"Pass","Cross",91,3,94,54,9
"159",30,"Huskies","Huskies_M4","Huskies_F2","1H",1876.941217,"Pass","Simple pass",55,77,54,72,17
"160",30,"Huskies","Huskies_G1","Huskies_F5","2H",957.793963,"Pass","Launch",13,62,62,48,12
"161",30,"Huskies","Huskies_F5","Huskies_D4","2H",1830.862999,"Pass","Simple pass",82,40,92,31,13
"162",30,"Huskies","Huskies_D4","Huskies_F2","2H",2486.397447,"Pass","Simple pass",45,9,58,33,10
"163",30,"Huskies","Huskies_D3","Huskies_F2","2H",2878.341311,"Pass","Simple pass",28,69,34,42,14
"164",31,"Huskies","Huskies_F2","Huskies_D3","1H",72.911765,"Pass","Simple pass",29,41,36,72,12
"165",31,"Huskies","Huskies_F6","Huskies_D8","1H",2109.154374,"Pass","Simple pass",57,92,45,86,8
"166",31,"Huskies","Huskies_D1","Huskies_F2","1H",2262.132745,"Pass","Simple pass",39,76,58,66,13
"167",31,"Huskies","Huskies_D3","Huskies_M4","1H",2635.950447,"Pass","Simple pass",51,69,59,52,12
"168",31,"Huskies","Huskies_D4","Huskies_F5","1H",2692.538926,"Pass","Simple pass",67,12,83,36,8
"169",31,"Huskies","Huskies_F2","Huskies_D3","2H",1570.260793,"Pass","Simple pass",30,56,32,70,23
"170",31,"Huskies","Huskies_D1","Huskies_D4","2H",2400.472442,"Pass","Simple pass",29,44,35,7,8
"171",31,"Huskies","Huskies_D6","Huskies_F5","2H",2936.32927,"Pass","High pass",38,76,67,47,13
"172",33,"Huskies","Huskies_M3","Huskies_M12","1H",1105.500452,"Pass","Simple pass",56,29,67,9,9
"173",33,"Huskies","Huskies_M1","Huskies_M3","2H",1884.642614,"Pass","Simple pass",64,69,43,72,9
"174",33,"Huskies","Huskies_F5","Huskies_F1","2H",1957.716506,"Pass","Simple pass",79,27,72,10,8
"175",34,"Huskies","Huskies_M1","Huskies_M12","1H",798.084478,"Pass","Simple pass",47,27,72,7,16
"176",34,"Huskies","Huskies_M3","Huskies_F2","1H",1181.795821,"Pass","Simple pass",29,59,40,53,9
"177",34,"Huskies","Huskies_D8","Huskies_F6","1H",1479.396871,"Pass","Simple pass",69,94,73,71,8
"178",34,"Huskies","Huskies_D4","Huskies_M1","1H",1595.10947,"Pass","Simple pass",76,25,65,21,11
"179",34,"Huskies","Huskies_M3","Huskies_M1","1H",1655.926907,"Pass","Simple pass",56,29,70,32,9
"180",34,"Huskies","Huskies_D3","Huskies_F5","1H",1897.949344,"Pass","High pass",36,66,77,63,11
"181",35,"Huskies","Huskies_F2","Huskies_D1","1H",295.948091,"Pass","Simple pass",66,63,45,45,10
"182",35,"Huskies","Huskies_M1","Huskies_D8","1H",407.62315,"Pass","Simple pass",58,91,75,92,12
"183",35,"Huskies","Huskies_D1","Huskies_D3","1H",1076.263383,"Pass","Simple pass",39,29,40,74,10
"184",35,"Huskies","Huskies_D4","Huskies_F5","1H",1455.932717,"Pass","Simple pass",61,8,79,37,13
"185",35,"Huskies","Huskies_M3","Huskies_M12","1H",2557.569127,"Pass","High pass",63,69,87,93,8
"186",35,"Huskies","Huskies_F2","Huskies_M4","2H",917.70761,"Pass","Simple pass",56,24,56,18,8
"187",35,"Huskies","Huskies_D4","Huskies_F6","2H",1012.259597,"Pass","High pass",41,4,78,13,8
"188",36,"Huskies","Huskies_F2","Huskies_F6","1H",856.378631,"Pass","Simple pass",54,17,66,21,15
"189",36,"Huskies","Huskies_D3","Huskies_D8","1H",1054.863505,"Pass","Simple pass",51,71,62,88,10
"190",36,"Huskies","Huskies_M3","Huskies_F5","1H",1260.506105,"Pass","High pass",32,11,63,27,11
"191",37,"Huskies","Huskies_D8","Huskies_M12","1H",997.81073,"Pass","Simple pass",73,96,92,93,10
"192",37,"Huskies","Huskies_D3","Huskies_M1","1H",1831.091584,"Pass","Simple pass",37,72,55,31,8
"193",37,"Huskies","Huskies_D3","Huskies_D10","2H",1692.189188,"Pass","Simple pass",35,58,35,34,8
"194",37,"Huskies","Huskies_G1","Huskies_D1","2H",2251.418684,"Pass","Simple pass",21,43,29,84,8
"195",38,"Huskies","Huskies_M3","Huskies_D1","1H",2084.589751,"Pass","Simple pass",41,59,53,88,9
"196",38,"Huskies","Huskies_D1","Huskies_M1","1H",2626.146872,"Pass","Simple pass",53,83,53,71,11
"197",38,"Huskies","Huskies_M4","Huskies_M1","2H",103.843869,"Pass","Simple pass",74,40,69,50,16
"198",38,"Huskies","Huskies_M1","Huskies_M3","2H",333.136799,"Pass","Simple pass",33,67,45,80,8
"199",38,"Huskies","Huskies_F6","Huskies_M2","2H",1259.559825,"Pass","Simple pass",79,78,66,65,9
"200",38,"Huskies","Huskies_F4","Huskies_M4","2H",1875.794123,"Pass","Simple pass",68,63,72,46,8
"201",38,"Huskies","Huskies_F4","Huskies_M3","2H",2142.811628,"Pass","Simple pass",76,14,66,22,15
"202",38,"Huskies","Huskies_F4","Huskies_F6","2H",2375.561699,"Pass","Smart pass",73,41,88,62,11
"203",38,"Huskies","Huskies_M1","Huskies_M12","2H",2638.826239,"Pass","Simple pass",64,71,78,91,9
